product_id,warehouse_id,inventory_date,stock_quantity
PROD0259,WH-AUS-01,2026-07-16,218
PROD0193,WH-AUS-01,2026-07-23,900
PROD0195,WH-FTW-01,2026-07-31,375
PROD0141,WH-AUS-01,2026-07-31,597
PROD0053,WH-DAL-01,2026-07-24,786
PROD0047,WH-AUS-01,2026-07-01,562
PROD0497,WH-FTW-01,2026-07-06,363
PROD0154,WH-HOU-01,2026-07-08,917
PROD0246,WH-AUS-01,2026-07-30,391
PROD0466,WH-FTW-01,2026-08-01,984
PROD0052,WH-FTW-01,2026-07-17,931
PROD0093,WH-FTW-01,2026-08-07,218
PROD0482,WH-FTW-01,2026-08-05,446
PROD0492,WH-AUS-01,2026-07-08,146
PROD0243,WH-HOU-01,2026-07-26,943
PROD0205,WH-DAL-01,2026-07-25,826
PROD0071,WH-DAL-01,2026-08-14,796
PROD0364,WH-AUS-01,2026-08-09,604
PROD0111,WH-AUS-01,2026-08-04,126
PROD0387,WH-FTW-01,2026-07-21,511
PROD0042,WH-AUS-01,2026-07-05,847
PROD0347,WH-FTW-01,2026-07-01,255
PROD0279,WH-FTW-01,2026-08-14,359
PROD0103,WH-DAL-01,2026-07-10,698
PROD0316,WH-FTW-01,2026-07-03,373
PROD0120,WH-FTW-01,2026-08-02,288
PROD0302,WH-DAL-01,2026-07-23,104
PROD0406,WH-FTW-01,2026-07-29,239
PROD0385,WH-DAL-01,2026-08-04,953
PROD0318,WH-AUS-01,2026-08-09,852
PROD0267,WH-DAL-01,2026-07-30,492
PROD0439,WH-HOU-01,2026-07-06,464
PROD0452,WH-HOU-01,2026-08-02,828
PROD0316,WH-HOU-01,2026-08-02,503
PROD0331,WH-AUS-01,2026-08-01,98
PROD0440,WH-FTW-01,2026-08-03,218
PROD0318,WH-HOU-01,2026-07-28,561
PROD0246,WH-HOU-01,2026-07-06,742
PROD0401,WH-FTW-01,2026-07-08,549
PROD0448,WH-HOU-01,2026-08-02,124
PROD0373,WH-AUS-01,2026-07-12,229
PROD0018,WH-DAL-01,2026-08-06,382
PROD0358,WH-HOU-01,2026-08-05,229
PROD0181,WH-DAL-01,2026-07-05,557
PROD0474,WH-AUS-01,2026-07-28,258
PROD0388,WH-AUS-01,2026-07-30,789
PROD0338,WH-HOU-01,2026-07-02,986
PROD0431,WH-AUS-01,2026-08-02,380
PROD0191,WH-FTW-01,2026-07-03,272
PROD0435,WH-HOU-01,2026-08-01,62
PROD0395,WH-FTW-01,2026-07-10,775
PROD0100,WH-HOU-01,2026-07-15,759
PROD0394,WH-AUS-01,2026-07-06,867
PROD0265,WH-AUS-01,2026-07-28,193
PROD0287,WH-AUS-01,2026-07-22,339
PROD0219,WH-AUS-01,2026-08-07,363
PROD0007,WH-DAL-01,2026-07-26,102
PROD0211,WH-DAL-01,2026-07-17,589
PROD0300,WH-FTW-01,2026-07-24,970
PROD0288,WH-HOU-01,2026-07-11,501
PROD0306,WH-DAL-01,2026-07-20,580
PROD0401,WH-DAL-01,2026-07-10,965
PROD0482,WH-DAL-01,2026-07-23,665
PROD0415,WH-AUS-01,2026-07-20,542
PROD0287,WH-AUS-01,2026-07-31,736
PROD0083,WH-AUS-01,2026-08-02,433
PROD0357,WH-DAL-01,2026-07-02,443
PROD0190,WH-HOU-01,2026-08-03,510
PROD0132,WH-HOU-01,2026-07-05,105
PROD0057,WH-AUS-01,2026-08-03,540
PROD0350,WH-AUS-01,2026-07-09,986
PROD0226,WH-FTW-01,2026-07-17,824
PROD0011,WH-DAL-01,2026-07-25,640
PROD0021,WH-HOU-01,2026-08-08,646
PROD0150,WH-FTW-01,2026-07-14,925
PROD0028,WH-HOU-01,2026-07-25,759
PROD0159,WH-AUS-01,2026-08-08,690
PROD0442,WH-HOU-01,2026-08-01,49
PROD0056,WH-HOU-01,2026-08-10,132
PROD0417,WH-HOU-01,2026-07-27,957
PROD0304,WH-AUS-01,2026-07-10,228
PROD0276,WH-FTW-01,2026-07-21,519
PROD0002,WH-DAL-01,2026-07-16,722
PROD0315,WH-HOU-01,2026-07-08,541
PROD0323,WH-HOU-01,2026-08-01,38
PROD0477,WH-DAL-01,2026-08-02,311
PROD0074,WH-AUS-01,2026-08-03,522
PROD0334,WH-DAL-01,2026-07-24,663
PROD0313,WH-HOU-01,2026-07-15,334
PROD0072,WH-AUS-01,2026-07-25,833
PROD0485,WH-HOU-01,2026-07-27,81
PROD0487,WH-DAL-01,2026-07-25,188
PROD0063,WH-HOU-01,2026-07-18,884
PROD0450,WH-FTW-01,2026-07-20,507
PROD0270,WH-AUS-01,2026-08-05,603
PROD0106,WH-HOU-01,2026-07-28,808
PROD0499,WH-DAL-01,2026-07-14,164
PROD0202,WH-FTW-01,2026-08-07,295
PROD0026,WH-DAL-01,2026-07-11,662
PROD0360,WH-HOU-01,2026-07-28,595
PROD0063,WH-FTW-01,2026-07-15,816
PROD0104,WH-AUS-01,2026-07-30,129
PROD0283,WH-AUS-01,2026-07-05,405
PROD0213,WH-AUS-01,2026-07-04,323
PROD0286,WH-AUS-01,2026-07-07,125
PROD0206,WH-DAL-01,2026-08-08,212
PROD0261,WH-FTW-01,2026-08-09,646
PROD0143,WH-AUS-01,2026-08-04,673
PROD0312,WH-DAL-01,2026-07-03,693
PROD0446,WH-AUS-01,2026-07-28,604
PROD0058,WH-DAL-01,2026-08-06,985
PROD0440,WH-FTW-01,2026-07-04,745
PROD0140,WH-DAL-01,2026-07-11,885
PROD0139,WH-AUS-01,2026-07-04,260
PROD0013,WH-AUS-01,2026-07-04,715
PROD0332,WH-HOU-01,2026-08-13,669
PROD0147,WH-FTW-01,2026-07-26,191
PROD0362,WH-DAL-01,2026-07-26,689
PROD0227,WH-AUS-01,2026-07-09,662
PROD0436,WH-HOU-01,2026-07-13,576
PROD0046,WH-FTW-01,2026-07-15,189
PROD0315,WH-HOU-01,2026-08-12,751
PROD0113,WH-FTW-01,2026-07-27,185
PROD0498,WH-FTW-01,2026-07-09,493
PROD0102,WH-FTW-01,2026-07-18,291
PROD0095,WH-HOU-01,2026-08-01,495
PROD0235,WH-FTW-01,2026-07-10,681
PROD0284,WH-AUS-01,2026-08-07,95
PROD0455,WH-FTW-01,2026-08-05,838
PROD0400,WH-DAL-01,2026-08-07,20
PROD0369,WH-AUS-01,2026-08-10,363
PROD0002,WH-AUS-01,2026-07-10,17
PROD0127,WH-FTW-01,2026-07-07,70
PROD0160,WH-HOU-01,2026-07-15,723
PROD0134,WH-DAL-01,2026-07-11,758
PROD0497,WH-HOU-01,2026-08-12,935
PROD0254,WH-FTW-01,2026-07-10,427
PROD0087,WH-DAL-01,2026-07-05,52
PROD0350,WH-FTW-01,2026-07-19,306
PROD0142,WH-AUS-01,2026-08-01,236
PROD0441,WH-FTW-01,2026-07-13,422
PROD0272,WH-FTW-01,2026-08-10,116
PROD0317,WH-HOU-01,2026-07-08,696
PROD0013,WH-HOU-01,2026-07-11,643
PROD0453,WH-FTW-01,2026-07-02,787
PROD0498,WH-HOU-01,2026-07-12,388
PROD0368,WH-FTW-01,2026-07-17,649
PROD0330,WH-DAL-01,2026-07-10,40
PROD0094,WH-DAL-01,2026-07-12,441
PROD0188,WH-DAL-01,2026-08-08,364
PROD0491,WH-HOU-01,2026-08-12,69
PROD0015,WH-DAL-01,2026-08-06,662
PROD0179,WH-FTW-01,2026-08-05,68
PROD0361,WH-DAL-01,2026-08-14,662
PROD0224,WH-DAL-01,2026-08-07,587
PROD0070,WH-HOU-01,2026-07-17,346
PROD0375,WH-DAL-01,2026-08-05,985
PROD0276,WH-AUS-01,2026-08-11,942
PROD0069,WH-AUS-01,2026-08-01,905
PROD0055,WH-HOU-01,2026-07-21,516
PROD0448,WH-FTW-01,2026-07-24,565
PROD0363,WH-DAL-01,2026-07-21,665
PROD0008,WH-DAL-01,2026-07-05,624
PROD0375,WH-FTW-01,2026-08-12,829
PROD0330,WH-AUS-01,2026-08-01,477
PROD0029,WH-DAL-01,2026-07-15,412
PROD0464,WH-DAL-01,2026-07-31,143
PROD0179,WH-FTW-01,2026-07-19,532
PROD0391,WH-AUS-01,2026-07-10,902
