order_item_id,order_id,product_id,quantity,unit_price
ITEM0000001,ORD007423,PROD0371,3,393.35
ITEM0000002,ORD014654,PROD0457,2,448.22
ITEM0000003,ORD001280,PROD0089,5,71.66
ITEM0000004,ORD000844,PROD0365,5,290.25
ITEM0000005,ORD003599,PROD0136,1,187.5
ITEM0000006,ORD004913,PROD0323,4,337.82
ITEM0000007,ORD005968,PROD0474,5,47.34
ITEM0000008,ORD008136,PROD0358,3,270.67
ITEM0000009,ORD005292,PROD0500,5,314.26
ITEM0000010,ORD008178,PROD0086,4,464.54
ITEM0000011,ORD004942,PROD0127,5,119.42
ITEM0000012,ORD011906,PROD0280,1,184.82
ITEM0000013,ORD012663,PROD0149,4,27.24
ITEM0000014,ORD011724,PROD0144,2,68.74
ITEM0000015,ORD000575,PROD0174,1,246.41
ITEM0000016,ORD008472,PROD0420,3,206.22
ITEM0000017,ORD000768,PROD0138,4,334.48
ITEM0000018,ORD003586,PROD0450,3,475.17
ITEM0000019,ORD004690,PROD0481,5,339.48
ITEM0000020,ORD007044,PROD0347,1,494.42
ITEM0000021,ORD008796,PROD0273,5,204.0
ITEM0000022,ORD002777,PROD0459,2,102.93
ITEM0000023,ORD006568,PROD0125,2,226.11
ITEM0000024,ORD010759,PROD0201,1,306.97
ITEM0000025,ORD001517,PROD0441,2,450.38
ITEM0000026,ORD010744,PROD0266,3,468.87
ITEM0000027,ORD013772,PROD0203,5,14.7
ITEM0000028,ORD007741,PROD0207,5,87.1
ITEM0000029,ORD012716,PROD0450,4,475.17
ITEM0000030,ORD009719,PROD0273,2,204.0
ITEM0000031,ORD006253,PROD0203,1,14.7
ITEM0000032,ORD009683,PROD0491,1,460.45
ITEM0000033,ORD005572,PROD0102,1,58.35
ITEM0000034,ORD014466,PROD0288,5,372.01
ITEM0000035,ORD006616,PROD0453,5,496.95
ITEM0000036,ORD008237,PROD0146,5,49.89
ITEM0000037,ORD003467,PROD0302,5,417.6
ITEM0000038,ORD005592,PROD0229,4,453.27
ITEM0000039,ORD005371,PROD0240,4,398.58
ITEM0000040,ORD008103,PROD0046,3,102.43
ITEM0000041,ORD010441,PROD0370,5,115.01
ITEM0000042,ORD003195,PROD0130,3,111.49
ITEM0000043,ORD009735,PROD0359,5,114.9
ITEM0000044,ORD012317,PROD0027,5,276.06
ITEM0000045,ORD001507,PROD0392,1,319.63
ITEM0000046,ORD009880,PROD0363,2,244.27
ITEM0000047,ORD002371,PROD0348,3,20.86
ITEM0000048,ORD006401,PROD0121,2,166.25
ITEM0000049,ORD012897,PROD0245,2,456.91
ITEM0000050,ORD002420,PROD0028,3,163.86
ITEM0000051,ORD009646,PROD0056,4,373.97
ITEM0000052,ORD001323,PROD0049,1,239.57
ITEM0000053,ORD013194,PROD0325,4,114.44
