order_id,customer_id,order_date,status,total_amount,payment_method
ORD000001,CUST03035,2026-01-27,Cancelled,34.21,Debit Card
ORD000002,CUST04890,2026-04-22,Completed,46.7,Apple Pay
ORD000003,CUST02578,2026-03-31,Processing,145.18,Apple Pay
ORD000004,CUST00676,2026-08-07,Completed,81.23,Google Pay
ORD000005,CUST02440,2026-05-09,Processing,121.88,PayPal
ORD000006,CUST01682,2026-02-13,Completed,90.06,Credit Card
ORD000007,CUST01277,2026-07-31,Shipped,30.74,Credit Card
ORD000008,CUST04768,2026-02-21,Shipped,232.95,Debit Card
ORD000009,CUST03248,2026-06-02,Cancelled,53.49,Credit Card
ORD000010,CUST04935,2026-07-21,Shipped,124.9,PayPal
ORD000011,CUST03649,2026-03-06,Completed,188.89,PayPal
ORD000012,CUST01313,2026-07-27,Processing,23.28,Google Pay
ORD000013,CUST01074,2026-01-11,Completed,56.57,Debit Card
ORD000014,CUST04100,2026-03-09,Completed,98.35,Debit Card
ORD000015,CUST01655,2026-05-01,Completed,49.6,Credit Card
ORD000016,CUST03748,2026-03-18,Completed,409.95,Apple Pay
ORD000017,CUST04089,2026-08-01,Completed,72.75,Debit Card
ORD000018,CUST01894,2026-01-15,Shipped,93.09,Credit Card
ORD000019,CUST01286,2026-02-26,Completed,218.04,Apple Pay
ORD000020,CUST00535,2026-03-15,Completed,22.96,Credit Card
ORD000021,CUST03448,2026-03-05,Shipped,44.33,Google Pay
ORD000022,CUST01380,2026-01-11,Completed,30.84,Debit Card
ORD000023,CUST00646,2026-05-01,Completed,81.67,Credit Card
ORD000024,CUST00024,2026-08-12,Cancelled,189.72,Google Pay
ORD000025,CUST04653,2026-08-13,Completed,29.01,Credit Card
ORD000026,CUST04452,2026-05-05,Cancelled,22.47,PayPal
ORD000027,CUST04966,2026-05-28,Completed,68.41,Credit Card
ORD000028,CUST04671,2026-01-30,Cancelled,156.28,PayPal
ORD000029,CUST04125,2026-01-10,Completed,34.74,Debit Card
ORD000030,CUST00365,2026-02-23,Processing,29.67,Credit Card
ORD000031,CUST02656,2026-07-05,Shipped,182.72,Google Pay
ORD000032,CUST00409,2026-07-26,Shipped,52.7,Debit Card
ORD000033,CUST01315,2026-06-06,Cancelled,94.12,Debit Card
ORD000034,CUST00219,2026-05-09,Completed,158.67,PayPal
ORD000035,CUST04704,2026-02-27,Shipped,86.67,Debit Card
ORD000036,CUST01540,2026-05-29,Processing,61.82,Credit Card
ORD000037,CUST03434,2026-05-23,Cancelled,30.63,Credit Card
ORD000038,CUST04954,2026-07-14,Completed,41.59,PayPal
ORD000039,CUST01603,2026-06-10,Completed,77.09,Credit Card
