payment_id,order_id,payment_date,amount,payment_method,status
PAY000001,ORD000001,2026-01-27,34.21,Debit Card,Completed
PAY000002,ORD000002,2026-04-22,46.7,Apple Pay,Failed
PAY000003,ORD000003,2026-03-31,145.18,Apple Pay,Completed
PAY000004,ORD000004,2026-08-07,81.23,Google Pay,Failed
PAY000005,ORD000005,2026-05-09,121.88,PayPal,Failed
PAY000006,ORD000006,2026-02-13,90.06,Credit Card,Completed
PAY000007,ORD000007,2026-07-31,30.74,Credit Card,Completed
PAY000008,ORD000008,2026-02-21,232.95,Debit Card,Pending
PAY000009,ORD000009,2026-06-02,53.49,Credit Card,Failed
PAY000010,ORD000010,2026-07-21,124.9,PayPal,Completed
PAY000011,ORD000011,2026-03-06,188.89,PayPal,Completed
PAY000012,ORD000012,2026-07-27,23.28,Google Pay,Completed
PAY000013,ORD000013,2026-01-11,56.57,Debit Card,Completed
PAY000014,ORD000014,2026-03-09,98.35,Debit Card,Completed
PAY000015,ORD000015,2026-05-01,49.6,Credit Card,Failed
PAY000016,ORD000016,2026-03-18,409.95,Apple Pay,Completed
PAY000017,ORD000017,2026-08-01,72.75,Debit Card,Completed
PAY000018,ORD000018,2026-01-15,93.09,Credit Card,Failed
PAY000019,ORD000019,2026-02-26,218.04,Apple Pay,Completed
PAY000020,ORD000020,2026-03-15,22.96,Credit Card,Completed
PAY000021,ORD000021,2026-03-05,44.33,Google Pay,Pending
PAY000022,ORD000022,2026-01-11,30.84,Debit Card,Completed
PAY000023,ORD000023,2026-05-01,81.67,Credit Card,Completed
PAY000024,ORD000024,2026-08-12,189.72,Google Pay,Completed
PAY000025,ORD000025,2026-08-13,29.01,Credit Card,Completed
PAY000026,ORD000026,2026-05-05,22.47,PayPal,Completed
PAY000027,ORD000027,2026-05-28,68.41,Credit Card,Pending
PAY000028,ORD000028,2026-01-30,156.28,PayPal,Completed
PAY000029,ORD000029,2026-01-10,34.74,Debit Card,Pending
PAY000030,ORD000030,2026-02-23,29.67,Credit Card,Pending
PAY000031,ORD000031,2026-07-05,182.72,Google Pay,Completed
PAY000032,ORD000032,2026-07-26,52.7,Debit Card,Pending
PAY000033,ORD000033,2026-06-06,94.12,Debit Card,Failed
PAY000034,ORD000034,2026-05-09,158.67,PayPal,Completed
PAY000035,ORD000035,2026-02-27,86.67,Debit Card,Completed
PAY000036,ORD000036,2026-05-29,61.82,Credit Card,Pending
PAY000037,ORD000037,2026-05-23,30.63,Credit Card,Completed
PAY000038,ORD000038,2026-07-14,41.59,PayPal,Pending
PAY000039,ORD000039,2026-06-10,77.09,Credit Card,Completed
PAY000040,ORD000040,2026-06-15,144.1,PayPal,Completed
PAY000041,ORD000041,2026-05-27,43.15,Apple Pay,Completed
PAY000042,ORD000042,2026-05-12,39.91,PayPal,Pending
PAY000043,ORD000043,2026-03-17,84.7,Google Pay,Pending
PAY000044,ORD000044,2026-03-30,35.36,Google Pay,Pending
PAY000045,ORD000045,2026-04-08,82.12,Credit Card,Completed
PAY000046,ORD000046,2026-03-22,33.14,Apple Pay,Completed
PAY000047,ORD000047,2026-07-05,72.39,Google Pay,Completed
PAY000048,ORD000048,2026-03-11,48.24,Google Pay,Completed
PAY000049,ORD000049,2026-01-12,65.35,Google Pay,Pending
PAY000050,ORD000050,2026-05-07,106.08,Credit Card,Failed
PAY000051,ORD000051,2026-03-20,56.46,Debit Card,Completed
PAY000052,ORD000052,2026-05-25,80.08,Debit Card,Completed
PAY000053,ORD000053,2026-05-09,37.17,Debit Card,Pending
PAY000054,ORD000054,2026-01-14,41.13,Credit Card,Completed
PAY000055,ORD000055,2026-04-29,28.01,Debit Card,Failed
PAY000056,ORD000056,2026-01-02,57.76,PayPal,Completed
PAY000057,ORD000057,2026-01-04,74.06,Credit Card,Completed
PAY000058,ORD000058,2026-03-07,79.07,Credit Card,Failed
PAY000059,ORD000059,2026-03-31,197.91,Apple Pay,Failed
PAY000060,ORD000060,2026-06-23,84.2,Google Pay,Failed
PAY000061,ORD000061,2026-06-27,44.58,Apple Pay,Failed
PAY000062,ORD000062,2026-03-01,307.56,Debit Card,Failed
PAY000063,ORD000063,2026-06-29,34.8,Credit Card,Pending
PAY000064,ORD000064,2026-04-07,69.41,Credit Card,Failed
PAY000065,ORD000065,2026-06-25,131.34,Debit Card,Failed
PAY000066,ORD000066,2026-06-16,89.16,Google Pay,Completed
PAY000067,ORD000067,2026-05-07,13.99,Apple Pay,Completed
PAY000068,ORD000068,2026-07-17,96.96,Google Pay,Completed
PAY000069,ORD000069,2026-03-01,41.08,Debit Card,Completed
PAY000070,ORD000070,2026-06-07,35.41,Apple Pay,Completed
PAY000071,ORD000071,2026-08-02,18.62,Apple Pay,Pending
PAY000072,ORD000072,2026-06-04,67.25,Google Pay,Failed
