product_id,product_name,category,price,supplier
PROD0001,Product 1,Beauty,204.27,Summit Suppliers
PROD0002,Product 2,Beauty,85.3,NorthStar Supply
PROD0003,Product 3,Home,432.63,NorthStar Supply
PROD0004,Product 4,Electronics,107.01,Metro Distribution
PROD0005,Product 5,Electronics,461.18,Metro Distribution
PROD0006,Product 6,Clothing,226.48,BlueRiver Wholesale
PROD0007,Product 7,Beauty,373.97,NorthStar Supply
PROD0008,Product 8,Beauty,278.03,Summit Suppliers
PROD0009,Product 9,Sports,135.75,BlueRiver Wholesale
PROD0010,Product 10,Books,338.83,PrimeGoods
PROD0011,Product 11,Home,479.38,NorthStar Supply
PROD0012,Product 12,Home,387.12,Metro Distribution
PROD0013,Product 13,Clothing,305.97,NorthStar Supply
PROD0014,Product 14,Electronics,495.41,NorthStar Supply
PROD0015,Product 15,Beauty,140.01,NorthStar Supply
PROD0016,Product 16,Books,40.55,NorthStar Supply
PROD0017,Product 17,Clothing,25.74,PrimeGoods
PROD0018,Product 18,Home,358.24,Metro Distribution
PROD0019,Product 19,Home,416.81,NorthStar Supply
PROD0020,Product 20,Home,321.2,PrimeGoods
PROD0021,Product 21,Beauty,453.46,BlueRiver Wholesale
PROD0022,Product 22,Beauty,352.01,NorthStar Supply
PROD0023,Product 23,Beauty,191.77,PrimeGoods
PROD0024,Product 24,Sports,98.82,Summit Suppliers
PROD0025,Product 25,Electronics,463.08,BlueRiver Wholesale
PROD0026,Product 26,Home,60.76,Metro Distribution
PROD0027,Product 27,Home,276.06,NorthStar Supply
PROD0028,Product 28,Sports,163.86,NorthStar Supply
PROD0029,Product 29,Home,142.99,PrimeGoods
PROD0030,Product 30,Home,326.46,Metro Distribution
PROD0031,Product 31,Beauty,123.31,Summit Suppliers
PROD0032,Product 32,Beauty,459.02,BlueRiver Wholesale
PROD0033,Product 33,Electronics,208.96,Metro Distribution
PROD0034,Product 34,Home,341.91,NorthStar Supply
PROD0035,Product 35,Clothing,366.6,PrimeGoods
PROD0036,Product 36,Home,344.64,Summit Suppliers
